price,first_name,last_name,above_100
109.03727963458523,William,Dixon,109.03727963458523
262.52465219225206,Kristen,Horn,262.52465219225206
187.00725827774068,Kimberly,Chang,187.00725827774068
283.17464763656955,Mary,Ball,283.17464763656955
143.8715816881791,Benjamin,Craig,143.8715816881791
61.508991352851325,Cathy,Werner,
48.63730910375835,Brandon,Bell,
12.389464788592939,Paul,Farley,
151.59544716874203,Sarah,Mcdaniel,151.59544716874203
75.62152102993683,Caroline,Anderson,
147.02940469082753,Carl,Jones,147.02940469082753
244.18565270607758,Scott,Lee,244.18565270607758
17.864270321996845,Kaylee,Coleman,
215.53728302426862,Charles,Parker,215.53728302426862
38.359970628717974,Susan,Hess,
204.18254858412087,Kiara,Collier,204.18254858412087
165.8514289408149,Mr. Scott,Martinez,165.8514289408149
30.301445064472407,Christopher,Ortega,
243.17249105103508,Michael,Russell,243.17249105103508
287.4932856123935,Dwayne,Johnson,287.4932856123935
180.23442574473592,Patty,Smith,180.23442574473592
99.79911841562617,Deanna,Sherman,
161.76889080563518,Douglas,Francis,161.76889080563518
18.649876721417435,Vicki,Diaz,
244.91198356198336,Robin,Phillips,244.91198356198336
141.4988254107795,Travis,Rice,141.4988254107795
50.00303730985961,Ashley,Rocha,
80.48182457363063,Sarah,Jacobson,
98.91531394497848,Kayla,Shannon,
220.62821774950515,Sean Wang,DDS,220.62821774950515
49.16869151205603,Richard,Estrada,
150.12378419766594,Joseph,Torres,150.12378419766594
18.84343770225838,Kim,Jones,
269.18402994297986,Melissa,Tanner,269.18402994297986
64.31251721074351,Jackson,Cline,
296.2155012166741,Sonya,Foster,296.2155012166741
15.390831703593,Allen,Williams,
95.22843715592121,Mr. Thomas,Rivera,
296.82440753934657,Jamie,Silva,296.82440753934657
92.50052419128963,Kathleen,Moore,
169.22892925664138,Evelyn,Pineda,169.22892925664138
106.7990952132163,Kyle,Peters,106.7990952132163
49.101998173197686,Anthony,Cruz,
122.95569856549317,Eric,Flores,122.95569856549317
254.49526058922797,Anna,Richardson,254.49526058922797
47.59652591777343,Gary,Harper,
115.36278154605293,Linda,Johnson,115.36278154605293
87.97994845806541,Melissa,Smith,
135.02304134412356,Kristen,Floyd,135.02304134412356
192.14913546689587,William,Diaz,192.14913546689587
134.90529389051355,Benjamin,Smith,134.90529389051355
216.29104632060702,David,Glenn,216.29104632060702
271.6144998802729,Dawn,Jones,271.6144998802729
14.494919799933415,Joel,Smith,
268.6758682473656,Mr. Larry Grimes,MD,268.6758682473656
121.7750468474434,Joseph,Arnold,121.7750468474434
241.6216391420153,Kyle,Long,241.6216391420153
261.54605742206627,Brittany,Day,261.54605742206627
63.51303580081721,Bobby,Ward,
254.07557711297557,Thomas,Lee,254.07557711297557
101.48873523428664,Jennifer,Hansen,101.48873523428664
176.09191738609584,Lisa,Murray,176.09191738609584
273.23034094310503,Meghan,Wade,273.23034094310503
84.88856949195045,Tammie,Brooks,
264.07466519472524,Maria,Bell,264.07466519472524
130.34844264841078,Allison,Livingston,130.34844264841078
17.342763790337447,Chris,Hays,
78.93257699026059,Courtney,Mitchell,
188.02192560020146,Shawn,White,188.02192560020146
225.01982371477402,Taylor,Gomez,225.01982371477402
200.72482076620912,Jeremy,Rodriguez,200.72482076620912
66.24555967130416,April,Garcia,
15.497387859732205,Zachary,Watts,
206.82125465342602,Sarah,Montoya,206.82125465342602
89.18615989096851,Jennifer,Barker,
72.3577270367147,Sharon,Garza,
196.3793220138052,Tiffany,Stevens,196.3793220138052
93.69836737933716,Ruben,Armstrong,
271.16228201716683,Dr. Jeffrey,Spencer,271.16228201716683
247.85960710449834,Nicole,Ramsey,247.85960710449834
277.93248205609933,Anne,Roy,277.93248205609933
285.6616404970253,Lori,Sanchez,285.6616404970253
126.85021100807128,Allison,Chavez,126.85021100807128
36.470408936676726,Marcus,Adams,
16.315071974183017,Mary,Smith,
178.45767424473252,Joseph,Reed,178.45767424473252
